Name,Korean,Category,Locality,Address,Confidence,NaverLink,Source
Weave Studios Dongdaemun East,,Places to stay,Seoul Dongdaemun-gu,서울특별시 동대문구 사가정로 109-1 위브스튜디오 동대문이스트,Check,https://map.naver.com/p/search/위브스튜디오%20동대문%20이스트,https://www.instagram.com/reel/DYFU7JiRca7/
Seomjingang Bike Path,,Biking Trip,"South Korea (Jeolla, ~300km route)",,Unresolved,https://map.naver.com/p/search/Seomjingang%20Bike%20Path,https://www.instagram.com/reel/DXoeapDDvqH/
Damyang bamboo forests,,Biking Trip,Damyang,,Unresolved,https://map.naver.com/p/search/Damyang%20bamboo%20forests,https://www.instagram.com/reel/DXoeapDDvqH/
Sunchang gochujang village,,Biking Trip,Sunchang,,Unresolved,https://map.naver.com/p/search/Sunchang%20gochujang%20village,https://www.instagram.com/reel/DXoeapDDvqH/
Jirisan National Park,,Biking Trip,Jirisan (Jeolla/Gyeongsang border),경상남도 하동군 화개면,Check,https://map.naver.com/p/search/지리산%20국립공원,https://www.instagram.com/reel/DXoeapDDvqH/
Hongdae,홍대,"HONGDAE, Walk",Seoul Mapo-gu,서울특별시 마포구 양화로 140 H-CUBE B2F,High,https://map.naver.com/p/search/루프캣미%20고양이카페%20홍대점,https://www.instagram.com/p/DXWTa0KDxtq/?img_index=6
Bukchon,북촌,Walk,Seoul Jongno-gu,서울특별시 종로구 계동길 37,High,https://map.naver.com/p/search/북촌%20한옥마을,https://www.instagram.com/p/DY9Qlk-lJ0S/?img_index=12
Gangnam,강남,Walk,Seoul Gangnam-gu,서울특별시 강남구 학동로 426 강남구청,High,https://map.naver.com/p/search/강남구청,https://www.instagram.com/p/DY9Qlk-lJ0S/?img_index=12
Cheonggyecheon,청계천,Walk,Seoul Jongno-gu / Jung-gu,서울특별시 종로구 창신동,High,https://map.naver.com/p/search/청계천,https://www.instagram.com/p/DY9Qlk-lJ0S/?img_index=12
Hahoe Folk Village,하회마을,Fireworks,"Andong, Gyeongsangbuk-do",경상북도 안동시 풍천면 전서로 186,High,https://map.naver.com/p/search/안동하회마을,https://www.instagram.com/reel/DXBBZ7dk1BQ/
Nopo,노포,Seoul Ikseon-Dong Nopo in Seoul,Seoul,부산광역시 금정구 남산로 13 서울깍두기 남산본점,Check,https://map.naver.com/p/search/서울깍두기%20남산본점,https://www.instagram.com/reel/DCHWJY7Bkk8/
makgeolli brewery (unnamed),,Distillery / Brewery Ki one distillery,Seoul,,Unresolved,https://map.naver.com/p/search/makgeolli%20brewery%20(unnamed),https://www.instagram.com/reel/DWMEpD4DzOd/
Gangjin,강진,Jeolla Province,"Gangjin County, South Jeolla Province",전라남도 강진군 강진읍 남성리 108-1,High,https://map.naver.com/p/search/강진군청,https://www.instagram.com/reel/DXqNvMPE7MR/
"Michelin Bib Gourmand 2026 (8 restaurants, unnamed)",,Mokpo province,Seoul / Busan,,Unresolved,"https://map.naver.com/p/search/Michelin%20Bib%20Gourmand%202026%20(8%20restaurants,%20unnamed)",https://www.instagram.com/p/DVe2Z18k69A/
Mokpo (Chef Kim Hayoun charcuterie),목포,Mokpo province,"Mokpo, South Jeolla",전라남도 목포시 양을로 203,High,https://map.naver.com/p/search/목포시청,https://www.instagram.com/reel/DXdDo9hkz4d/
Volare,,Pizza List,Seoul Seocho-gu,서울특별시 서초구 사평대로20길 8 성훈빌딩,Check,https://map.naver.com/p/search/볼라레,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Vera,,Pizza List,Seoul Yongsan-gu,서울특별시 용산구 이태원로 272 3층 베라나폴리,Check,https://map.naver.com/p/search/베라나폴리,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Pizzeria Da Ali,,Pizza List,Daejeon Yuseong-gu,대전광역시 유성구 지족로349번길 40-5,Check,https://map.naver.com/p/search/피제리아다알리,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Panello,,Pizza List,Seoul Mapo-gu,서울특별시 마포구 어울마당로5길 29,Check,https://map.naver.com/p/search/빠넬로,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Zione,,Pizza List,Daegu Nam-gu,대구광역시 남구 현충로 21,Check,https://map.naver.com/p/search/지오네%20키친,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Piano,,Pizza List,"Donghae, Gangwon-do",강원특별자치도 동해시 동해대로 6270-18 2층피아노레스토랑,Check,https://map.naver.com/p/search/피아노%20레스토랑,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Jootopia (Daegu),,Pizza List,Daegu Jung-gu,"141 Dongdeok-ro 30-gil, Dongin-dong, Jung-gu, Daegu",Unresolved,https://map.naver.com/p/search/Jootopia%20(Daegu),https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Jootopia (Seoul),,Pizza List,Seoul Seocho-gu,서울특별시 서초구 강남대로101안길 12 명성빌딩 1F Jootopia Seoul,High,https://map.naver.com/p/search/주토피아%20서울,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Pizzeria Marione,,Pizza List,Seoul Mapo-gu,서울특별시 성동구 광나루로2길 23-1 1층,Check,https://map.naver.com/p/search/마리오네,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Pizzeria Del Popolo,,Pizza List,"Goyang, Gyeonggi-do","경기도 고양시 일산동구 정발산로 43-20 센트럴플라자 102호, 103호",Check,https://map.naver.com/p/search/포폴로피자,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Verde,,Pizza List,Incheon Jung-gu,광주광역시 북구 우치로100번길 61 1층 verde,High,https://map.naver.com/p/search/Verde,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Pizzeria O,,Pizza List,Seoul Jongno-gu,"서울특별시 종로구 동숭길 86 2, 3층",Check,https://map.naver.com/p/search/핏제리아오%20대학로%20본점,https://www.instagram.com/p/DVnHDNPDudB/?img_index=3
Seongsu Baking Studio,,Bread baguette,Seoul Seongdong-gu,서울특별시 성동구 서울숲2길 46 B1층,Check,https://map.naver.com/p/search/성수%20베이킹%20스튜디오,https://www.instagram.com/reel/DWgQAzXD-RP/
Dooroomi,,Old village,Seoul Mapo-gu,서울특별시 마포구 동교로51길 129-10 두루미,Check,https://map.naver.com/p/search/두루미,https://www.instagram.com/reel/DYVvERpqscL/
